year,month,day,dep_hr,dep_min,dep_delay,carrier,airline,country,flight,equip,tailnum,origin,dest
2022,9,18,2,38,0,UA,United,USA,1545,B737-8,N14228,EWR,IAH
2022,2,14,12,25,13,AA,American Airlines,USA,441,B777,N24211,MIA,GRU
2022,1,7,13,56,9,AA,American Airlines,USA,1141,A321,N619AA,JFK,MIA
2022,6,7,22,56,7,B6,JetBlue,USA,725,A321,N804JB,JFK,BQN
2022,1,30,24,2,14,DL,Delta Airlines,USA,461,B757-2,N668DN,LGA,ATL
2022,5,2,11,2,49,UA,United,USA,1696,B737-MAX,N39463,EWR,ORD
2022,5,5,5,50,13,B6,JetBlue,USA,507,A321,N516JB,EWR,FLL
2022,10,24,20,23,50,NK,Spirit Airways,USA,5708,A321,N829AS,BOS,PBI
2022,6,16,5,31,30,LH,Lufthansa,Germany,411,B747-4,N593JB,CLT,MUC
2022,8,18,2,38,20,UA,United,USA,1545,B737-8,N14228,EWR,IAH
2022,3,14,12,25,91,AA,American Airlines,USA,441,B777,N24211,MIA,GRU
2022,2,7,13,56,0,AA,American Airlines,USA,1141,A321,N619AA,JFK,MIA
2022,5,7,22,56,2,B6,JetBlue,USA,725,A321,N804JB,JFK,BQN
2023,2,30,24,2,0,DL,Delta Airlines,USA,461,B757-2,N668DN,LGA,ATL
2023,6,2,11,2,68,UA,United,USA,1696,B737-MAX,N39463,EWR,ORD
2023,6,5,5,50,850,B6,JetBlue,USA,507,A321,N516JB,EWR,FLL
2023,11,24,20,23,20,NK,Spirit Airways,USA,5708,A321,N829AS,BOS,PBI
2024,7,16,5,31,18,LH,Lufthansa,Germany,411,B747-4,N593JB,CLT,MUC
