"CONTROL_NUMBER","DONATED","DONATION_AMT","DONOR_AGE","URBANICITY","DONOR_GENDER","HOME_OWNER","INCOME_LEVEL","SES","MEDIAN_HOME_VALUE","MEDIAN_HOUSEHOLD_INCOME","DONATION_RESPONSE","MONTHS_SINCE_LAST_GIFT","EMAILS_12","LIFETIME_GIFT_COUNT","LIFETIME_EMAILS","LIFETIME_GIFT_AMOUNT","LIFETIME_MAX_GIFT_AMT","LIFETIME_MIN_GIFT_AMT","LIFETIME_AVG_GIFT_AMT"
5,FALSE,NA,87,"?","M","H",2,".",554000,294000,0,26,17,35,19,29700,2000,500,849
12,TRUE,1000,79,"R","M","H",7,"45",334000,212000,0,7,28,25,32,36800,2500,500,1472
37,FALSE,NA,75,"S","F","H",5,"11",2388000,405000,0,6,43,36,44,60300,2800,500,1675
38,FALSE,NA,NA,"U","F","H",6,"4",1688000,153000,0,6,44,37,31,43500,1700,300,1176
41,FALSE,NA,74,"R","F","U",2,"49",514000,328000,8,18,25,12,30,10600,2500,500,883
52,FALSE,NA,63,"U","M","U",3,"8",452000,182000,0,19,29,22,22,12800,1000,300,582
53,FALSE,NA,71,"R","M","H",5,"50",376000,122000,0,21,25,20,29,22000,2000,500,1100
67,TRUE,500,79,"C","F","H",1,"28",1004000,189000,0,9,33,20,33,10100,700,300,505
70,FALSE,NA,41,"C","F","H",4,"30",361000,180000,0,17,36,34,36,17100,700,300,503
71,TRUE,1600,63,"R","F","H",4,"43",399000,307000,0,9,38,22,27,15000,1100,300,682
77,FALSE,NA,NA,"R","F","U",NA,"43",119000,179000,0,4,46,37,45,27300,1000,300,738
113,FALSE,NA,NA,"R","F","U",NA,"53",168000,163000,0,20,30,14,39,51600,8500,500,3686
122,FALSE,NA,NA,"R","F","U",NA,"42",770000,256000,0,15,38,33,36,10050,1500,100,305
139,FALSE,NA,NA,"R","F","U",NA,"46",655000,219000,0,26,14,7,11,10300,2100,500,1471
142,TRUE,300,NA,"R","F","U",NA,"43",475000,227000,0,22,31,31,44,18600,1100,200,600
156,FALSE,NA,73,"?","F","U",5,".",706000,299000,17,18,21,33,38,20100,1000,200,609
159,TRUE,1200,81,"R","M","U",4,"45",530000,236000,24,6,40,29,33,27000,1500,500,931
162,FALSE,NA,76,"S","F","U",2,"20",813000,255000,7,20,38,24,37,27700,2500,500,1154
186,FALSE,NA,NA,"?","F","U",NA,".",910000,240000,0,15,38,76,46,67000,2000,300,882
210,FALSE,NA,69,"S","F","N",3,"16",663000,340000,32,12,29,26,33,25500,2000,500,981
220,TRUE,800,45,"C","M","N",2,"30",550000,387000,4,5,34,22,29,12200,800,300,555
230,FALSE,NA,71,"T","M","H",3,"40",2222000,450000,0,26,17,7,16,9000,2000,500,1286
236,FALSE,NA,43,"U","M","H",4,"7",1296000,358000,0,5,35,21,24,20000,1500,500,952
250,TRUE,1500,87,"S","F","U",1,"20",469000,222000,6,17,34,24,39,26100,1500,300,1088
257,FALSE,NA,55,"?","F","H",4,".",490000,152000,0,25,17,14,19,16400,2000,300,1171
263,TRUE,1000,77,"T","U","U",NA,"34",2156000,331000,0,5,40,16,33,18600,1700,500,1163
268,TRUE,3300,37,"C","F","U",5,"23",1765000,327000,7,8,38,21,40,47000,3500,1000,2238
276,FALSE,NA,52,"S","M","H",5,"16",610000,297000,10,20,28,14,33,13400,1300,500,957
282,TRUE,2000,30,"T","M","H",6,"35",1117000,544000,11,20,19,9,13,7600,2000,500,844
